id,category,title,ingredients
resep-24956564,tahu,Tahu Telor,"['3 butir telur, kocok lepas', '1/2 kotak tahu putih besar (bebas pake tahu apa aja)', 'Secukupnya bumbu pecel atau gado2 instan (resep bumbu kacang dibawah kl mau bikin sendiri ya)', 'Secukupnya toge, rebus sebentar saja', 'Secukupnya potongan timun', 'Secukupnya bawang goreng untuk taburan']"
resep-24984371,tahu,Tahu Goreng Ketumbar,"['4 bh Tahu Putih', '2 Siung Bawang Putih', '1 sdt Ketumbar', 'secukupnya Garam, Penyedap Rasa', 'secukupnya Air bersih', 'secukupnya Minyak Goreng']"
resep-24969118,tahu,Tofu Egg Roll,"['2 Tahu putih uk besar', '50 gr ayam (optional)', '1 butir telur', '1 sdm tepung terigu', '1 sdm maizena ROSE BRAND', '1 wortel ukuran kecil iris bulat swm', '1 daun bawang', '3 bawang putih haluskan', '3/4 sdt merica bubuk', '2 sdm saus tiram', '1 sdm minyak wijen', '1 sdm kecap asin', '1 sdt gula pasir', 'garam (bila perlu)', 'penyedap Asatu ROSE BRAND', 'Bahan Kulit', '1 butir telur', '1 kuning telur', '1/2 sdt garam', '1/4 sdt gula pasir rose brand', '1/2 sdt kaldu bubuk', '60 gr tepung terigu', '15 gr tepung maizena rose brand', '15 ml minyak goreng rose brand', '180 ml air', 'secukupnya pewarna kuning']"
resep-24984423,tahu,Tahu Balado,"['4 buah Tahu', '1 buah Tomat', '5 siung Bawang merah', '3 siung Bawang putih', '5 buah Cabe merah', '2 lembar Daun jeruk', '1/2 sdt Garam', '1/2 sdt Gula', '1 sdt Kecap manis', '1/4 sdt Penyedap rasa', 'secukupnya Minyak goreng']"
resep-24964585,tahu,Tahu Chili Padi,"['12 kotak tahu putih', '100 gr cabe rawit', '5 siung bawang merah', '3 siung bawang putih', '1 sdm tepung terigu serba guna', '2 sdm tepung maizena rose brand', '1/2 sdt gula pasir rose brand', '1 sdt garam', '1 sdt kaldu bubuk', '1 sdm margarin rose brand']"
resep-24973708,tempe,Sambel lado kentang dan tempe iris cabe,"['1 batang Tempe', '2 pcs Kentang', 'Cabe merah 1/2 ons (sesuai selera)', '4 pcs Bawang merah', '2 pcs Bawang putih', '1 butir tomat besar', 'secukupnya Minyak goreng garam dan gula', 'Cabe hijau 2 pcs + cabe merah 2pcs (di iris)']"
resep-24966104,tempe,Kering Tempe Kacang Teri,"['2 papan tempe', 'secukupnya teri', 'secukupnya kacang tanah', 'Bawang merah', 'Bawang putih', 'Merica', 'Daun jeruk', 'Gula merah', 'Garam', 'Penyedap rasa']"
resep-24959989,tempe,Tempe bacem basah,"['3 bungkus tempe', '1 1/2 butir gula merah', '3 butir bawang putih', '6 butir bawang merah', 'secukupnya ketumbar', '5 biji kemiri', '2 lembar daun salam', 'garam', 'kaldu bubuk', '4 mata asam jawa']"
resep-24983854,tempe,Jangan lombok tempe,"['1/2 Papan Tempe Semangit potong sesuai selera', '6 bh Cabe Merah', '6 bh Cabe Hijau', '10 bh Cabe Rawit', '2 bh Tomat', '3 bh Bawang Merah', '3 bh Bawang Putih', '1 bh kemiri', '1/2 sdt Garam', '1/2 sdt Lada', '1/2 sdt Micin', '1 Bks royco', 'Sejumput ketumbar', '1 sdt ebi', '5 SDM Minyak goreng', '1 gelas air', '1 bh santan + air 1 gelas', '2 lembar daun salam &amp; lengkuas']"
resep-24958576,tempe,Tempe orek versi sat set,"['2 papan tempe iris tipis korek api', '10 Bawang merah iris tipis', '3 Bawang putih iris tipis', 'secukupnya Cabe merah iris', '2 bulat Gula merah hancurkan/iris', '3 sdm kecap manis', '2 sdm air asam jawa', 'Secukupnya lada', 'secukupnya Garam', '4 daun jeruk', '1 lembar daun salam', '2 sdm Air']"
resep-24972346,sayuran,Capcay Sayur,"['250 gr dada ayam', '4 bakso sapi', '1/2 siung bawang bombay (saya pakai ukuran kecil)', '2 siung bawang putih', '50 gr brokoli', '2 buah wortel', '1/4 kol putih', '1 ikat pakcoy', '4 buah jamur kuping', '1 tomat merah', 'secukupnya Daun bawang', 'secukupnya seledri', '1 bungkus saus tiram', '3 sdm saos sambal', '1 sdm kecap manis', '2 sdm minyak wijen', 'secukupnya Merica bubuk', 'secukupnya Garam', 'secukupnya Kaldu bubuk', '1 sdm tepung maizena']"
resep-24984291,sayuran,Sayur gori sayur tewel,"['3 bungkus gori/nangka muda', '3 lembar daun salam', '1 bungkus santan kara', 'Air untuk merebus', 'Bumbu halus :', '7 butir bawang merah', '4 butir kemiri']"
resep-23968910,sayuran,Sayur Urap,"['3/4 btr kelapa', 'Sesuai selera toge', 'Secukupnya kangkung', 'Secukupnya kacang panjang', '5 buah cabai merah', '4 buah cabai rawit', '8 siung bawang merah', '6 siung bawang putih', 'Sejempol kencur', '1 bks terasi', '4 lembar daun jeruk (buang tulangnya)', 'Secukupnya garam,gula dan penyedap rasa', '2 sdm minyak goreng', '50 ml air']"
